id,pertanyaan,jawaban_satu,jawaban_dua,type_satu,type_dua
1,Ketika melakukan sesuatu biasanya kamu,"Spontan, Fleksibel, tidak diikat waktu",Terencana dan memiliki deadline jelas,P,J
2,Jenis komunikasi apa yang paling kamu sukai,Lebih memilih berkomunikasi dengan menulis,Lebih memilih berkomunikasi dengan bicara,I,E
3,Kamu adalah tipikal orang yang?,Tidak menyukai hal-hal yang bersifat mendadak dan di luar perencanaan,Perubahan mendadak tidak jadi masalah,J,P
4,Pilihlah salah satu!,Obyektif,Subyektif,T,F
5,Mana yang lebih menarik untukmu,Menemukan dan mengembangkan ide dengan mendiskusikannya,Menemukan dan mengembangkan ide dengan merenungkan,E,I
6,Kamu lebih memilih,Bergerak dari gambaran umum baru ke detail,Bergerak dari detail ke gambaran umum sebagai kesimpulan akhir,N,S
7,Kamu adalah tipikal orang yang?,"Berorientasi pada dunia eksternal (kegiatan, orang)","Berorientasi pada dunia internal (memori, pemikiran, ide)",E,I
8,Kamu adalah tipikal orang yang?,Berbicara mengenai masalah yang dihadapi hari ini dan langkah-langkah praktis mengatasinya,Berbicara mengenai visi masa depan dan konsep-konsep mengenai visi tersebut,S,N
9,Kamu adalah tipikal orang yang?,Diyakinkan dengan penjelasan yang menyentuh perasaan,Diyakinkan dengan penjelasan yang masuk akal,F,T
10,Kamu lebih memilih,Fokus pada sedikit hobi namun mendalam,Fokus pada banyak hobi secara luas dan umum,I,E
11,Pilihlah salah satu!,Tertutup dan mandiri,Sosial dan ekspresif,I,E
12,Kamu adalah tipikal orang yang?,"Aturan, jadwal dan target sangat mengikat dan membebani","Aturan, jadwal dan target akan sangat membantu dan memperjelas tindakan",P,J
13,Kamu adalah tipikal orang yang?,Menggunakan pengalaman sebagai pedoman,Menggunakan imajinasi dan perenungan sebagai pedoman,S,N
14,Kamu adalah tipikal orang yang?,Berorientasi tugas dan job description,Berorientasi pada manusia dan hubungan,T,F
15,Kamu adalah tipikal orang yang?,Pertemuan dengan orang lain dan aktivitas sosial melelahkan,Bertemu orang dan aktivitas sosial membuat bersemangat,I,E
16,Bagaimana pendapatmu tentang SOP,SOP sangat membantu,SOP sangat membosankan,S,N
17,Kamu adalah tipikal orang yang?,Mengambil keputusan berdasar logika dan aturan main,Mengambil keputusan berdasar perasaan pribadi dan kondisi orang lain,T,F
18,Pilihlah salah satu!,Bebas dan dinamis,Prosedural dan tradisional,N,S
19,Pilihlah salah satu!,Berorientasi pada hasil,Berorientasi pada proses,J,P
20,Kamu adalah tipikal orang yang?,Beraktifitas sendirian di rumah menyenangkan,Beraktifitas sendirian di rumah membosankan,I,E
21,Kamu adalah tipikal orang yang?,Membiarkan orang lain bertindak bebas asalkan tujuan tercapai,Mengatur orang lain dengan tata tertib agar tujuan tercapai,P,J
22,Kamu adalah tipikal orang yang?,Memilih ide inspiratif lebih penting daripada fakta,Memilih fakta lebih penting daripada ide inspiratif,N,S
23,Kamu adalah tipikal orang yang?,Mengemukakan tujuan dan sasaran lebih dahulu,Mengemukakan kesepakatan terlebih dahulu,T,F
24,Kamu adalah tipikal orang yang?,Fokus pada target dan mengabaikan hal-hal baru,Memperhatikan hal-hal baru dan siap menyesuaikan diri serta mengubah target,J,P
25,Kamu adalah tipikal orang yang?,Kontinuitas dan stabilitas lebih diutamakan,Perubahan dan variasi lebih diutamakan,S,N
26,Kamu adalah tipikal orang yang?,Pendirian masih bisa berubah tergantung situasi nantinya,Berpegang teguh pada pendirian,P,J
27,Kamu adalah tipikal orang yang?,Bertindak step by step dengan timeframe yang jelas,Bertindak dengan semangat tanpa menggunakan timeframe,S,N
28,Kamu adalah tipikal orang yang?,Berinisiatif tinggi hampir dalam berbagai hal meskipun tidak berhubungan dengan dirinya,Berinisiatif bila situasi memaksa atau berhubungan dengan kepentingan sendiri,E,I
29,Kamu adalah tipikal orang yang?,Lebih memilih tempat yang tenang dan pribadi untuk berkonsentrasi,Lebih memilih tempat yang ramai dan banyak interaksi / aktifitas,I,E
30,Pilihlah salah satu!,Menganalisa,Berempati,T,F
31,Kamu adalah tipikal orang yang?,Berpikir secara matang sebelum bertindak,Berani bertindak tanpa terlalu lama berfikir,I,E
32,Kamu adalah tipikal orang yang?,Menghargai seseorang karena sifat dan perilakunya,Menghargai seseorang karena skill dan faktor teknis,F,T
33,Kamu adalah tipikal orang yang?,Merasa nyaman bila situasi tetap terbuka terhadap pilihan-pilihan lain,Merasa tenang bila semua sudah diputuskan,P,J
